freq,psd_x,psd_y,psd_z,psd_xyz,shapers:,zv(46.8),mzv(45.6),ei(60.2),2hump_ei(69.0),3hump_ei(85.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,,1.000,1.000,1.000,1.000,1.000
1.5,7.006e-15,2.219e-12,7.199e-15,2.233e-12,,0.999,0.999,0.999,0.999,0.998
3.1,2.438e-03,3.697e-01,2.960e-03,3.751e-01,,0.998,0.998,0.998,0.997,0.997
4.6,3.424e-01,2.375e+01,4.327e-01,2.453e+01,,0.998,0.997,0.997,0.996,0.995
6.1,1.667e+00,1.097e+02,2.211e+00,1.136e+02,,0.997,0.996,0.996,0.994,0.994
7.7,3.475e+00,1.989e+02,4.148e+00,2.065e+02,,0.996,0.994,0.994,0.993,0.992
9.2,4.401e+00,3.627e+02,6.565e+00,3.737e+02,,0.995,0.993,0.993,0.991,0.991
10.7,4.584e+00,3.766e+02,6.932e+00,3.881e+02,,0.995,0.992,0.992,0.990,0.989
12.3,4.175e+00,4.396e+02,6.745e+00,4.505e+02,,0.994,0.991,0.991,0.988,0.987
13.8,4.189e+00,4.639e+02,8.471e+00,4.765e+02,,0.993,0.989,0.989,0.986,0.985
15.3,3.953e+00,5.481e+02,7.866e+00,5.599e+02,,0.992,0.988,0.988,0.984,0.983
16.9,3.625e+00,6.412e+02,6.900e+00,6.518e+02,,0.991,0.986,0.986,0.982,0.981
18.4,4.689e+00,7.481e+02,6.382e+00,7.591e+02,,0.990,0.985,0.985,0.980,0.979
19.9,7.065e+00,8.190e+02,8.032e+00,8.341e+02,,0.988,0.983,0.983,0.978,0.977
21.5,5.613e+00,8.904e+02,9.977e+00,9.060e+02,,0.987,0.982,0.982,0.976,0.975
23.0,4.417e+00,1.021e+03,9.253e+00,1.035e+03,,0.986,0.980,0.980,0.974,0.972
24.5,3.483e+00,1.346e+03,8.687e+00,1.358e+03,,0.985,0.978,0.978,0.972,0.970
26.1,3.452e+00,1.736e+03,8.488e+00,1.748e+03,,0.984,0.976,0.976,0.969,0.967
27.6,4.248e+00,2.035e+03,1.116e+01,2.051e+03,,0.982,0.974,0.974,0.967,0.965
29.1,6.142e+00,2.381e+03,1.490e+01,2.402e+03,,0.981,0.972,0.972,0.964,0.962
30.7,5.573e+00,2.779e+03,1.213e+01,2.796e+03,,0.979,0.970,0.970,0.962,0.959
32.2,3.572e+00,3.892e+03,1.066e+01,3.907e+03,,0.978,0.968,0.968,0.959,0.957
33.7,3.241e+00,4.893e+03,1.548e+01,4.912e+03,,0.977,0.966,0.967,0.957,0.954
35.3,4.258e+00,6.408e+03,3.529e+01,6.448e+03,,0.975,0.964,0.965,0.954,0.951
36.8,5.576e+00,9.473e+03,6.963e+01,9.548e+03,,0.973,0.962,0.962,0.951,0.948
38.3,7.106e+00,1.255e+04,1.266e+02,1.269e+04,,0.972,0.959,0.960,0.948,0.945
39.9,1.369e+01,2.289e+04,2.592e+02,2.316e+04,,0.970,0.957,0.958,0.945,0.942
41.4,2.317e+01,3.040e+04,3.166e+02,3.074e+04,,0.968,0.954,0.955,0.942,0.939
42.9,3.410e+01,3.389e+04,2.806e+02,3.420e+04,,0.967,0.952,0.953,0.939,0.935
44.5,4.827e+01,3.221e+04,2.195e+02,3.248e+04,,0.965,0.949,0.951,0.936,0.932
46.0,4.433e+01,2.436e+04,1.717e+02,2.458e+04,,0.963,0.947,0.948,0.933,0.929
47.5,2.909e+01,2.043e+04,1.953e+02,2.065e+04,,0.961,0.944,0.946,0.930,0.926
49.0,2.137e+01,1.539e+04,2.510e+02,1.566e+04,,0.959,0.942,0.943,0.926,0.922
50.6,2.969e+01,1.299e+04,3.108e+02,1.333e+04,,0.957,0.939,0.940,0.923,0.918
52.1,3.863e+01,9.920e+03,3.178e+02,1.028e+04,,0.955,0.936,0.938,0.919,0.915
53.6,3.848e+01,7.762e+03,2.949e+02,8.095e+03,,0.953,0.933,0.935,0.916,0.911
55.2,3.835e+01,6.732e+03,3.204e+02,7.090e+03,,0.951,0.930,0.932,0.912,0.908
56.7,3.687e+01,5.184e+03,3.024e+02,5.523e+03,,0.949,0.927,0.929,0.909,0.904
58.2,4.450e+01,5.230e+03,2.940e+02,5.569e+03,,0.947,0.924,0.927,0.905,0.900
59.8,5.643e+01,4.071e+03,2.497e+02,4.377e+03,,0.945,0.921,0.924,0.902,0.896
61.3,1.007e+02,3.850e+03,2.072e+02,4.158e+03,,0.942,0.918,0.921,0.898,0.892
62.8,1.203e+02,3.869e+03,2.203e+02,4.209e+03,,0.940,0.915,0.917,0.894,0.888
64.4,1.128e+02,3.281e+03,1.908e+02,3.585e+03,,0.938,0.912,0.914,0.890,0.884
65.9,1.566e+02,3.711e+03,2.026e+02,4.070e+03,,0.935,0.908,0.911,0.886,0.880
67.4,1.716e+02,3.210e+03,1.887e+02,3.570e+03,,0.933,0.905,0.908,0.882,0.876
69.0,1.954e+02,2.901e+03,1.635e+02,3.260e+03,,0.931,0.902,0.905,0.878,0.872
70.5,2.471e+02,3.323e+03,1.624e+02,3.732e+03,,0.928,0.899,0.902,0.874,0.868
72.0,3.589e+02,3.241e+03,1.533e+02,3.753e+03,,0.926,0.895,0.899,0.870,0.863
73.6,4.463e+02,3.132e+03,1.616e+02,3.739e+03,,0.923,0.892,0.895,0.865,0.859
75.1,3.822e+02,3.361e+03,1.807e+02,3.923e+03,,0.920,0.888,0.892,0.861,0.854
76.6,3.230e+02,3.350e+03,1.727e+02,3.846e+03,,0.918,0.884,0.888,0.857,0.850
78.2,4.809e+02,3.838e+03,1.601e+02,4.479e+03,,0.915,0.881,0.885,0.853,0.845
79.7,7.652e+02,4.355e+03,1.459e+02,5.266e+03,,0.912,0.877,0.882,0.848,0.841
81.2,1.257e+03,5.456e+03,1.726e+02,6.886e+03,,0.910,0.874,0.878,0.844,0.836
82.8,2.239e+03,6.975e+03,1.629e+02,9.377e+03,,0.907,0.870,0.875,0.839,0.832
84.3,4.336e+03,9.030e+03,1.474e+02,1.351e+04,,0.904,0.866,0.871,0.835,0.827
85.8,6.136e+03,8.933e+03,1.260e+02,1.519e+04,,0.901,0.862,0.867,0.830,0.822
87.4,5.247e+03,5.451e+03,9.470e+01,1.079e+04,,0.898,0.858,0.863,0.825,0.817
88.9,3.932e+03,2.796e+03,8.230e+01,6.811e+03,,0.895,0.854,0.860,0.821,0.812
90.4,2.454e+03,1.175e+03,7.627e+01,3.705e+03,,0.892,0.850,0.856,0.816,0.808
92.0,1.999e+03,6.231e+02,6.275e+01,2.685e+03,,0.889,0.846,0.852,0.811,0.803
93.5,1.380e+03,2.657e+02,5.705e+01,1.703e+03,,0.887,0.842,0.849,0.807,0.798
95.0,1.082e+03,1.395e+02,5.237e+01,1.274e+03,,0.883,0.838,0.845,0.802,0.793
96.6,1.008e+03,1.128e+02,4.449e+01,1.166e+03,,0.880,0.834,0.841,0.797,0.788
98.1,7.307e+02,1.145e+02,5.237e+01,8.976e+02,,0.877,0.830,0.837,0.792,0.783
99.6,7.586e+02,1.593e+02,5.222e+01,9.701e+02,,0.874,0.825,0.833,0.787,0.778
101.2,7.337e+02,2.340e+02,5.031e+01,1.018e+03,,0.871,0.821,0.829,0.782,0.772
102.7,5.463e+02,2.663e+02,5.346e+01,8.661e+02,,0.867,0.817,0.824,0.777,0.767
104.2,5.808e+02,3.800e+02,4.995e+01,1.011e+03,,0.864,0.813,0.820,0.772,0.762
105.8,6.157e+02,5.187e+02,4.122e+01,1.176e+03,,0.861,0.808,0.816,0.767,0.757
107.3,6.186e+02,6.332e+02,4.073e+01,1.292e+03,,0.857,0.804,0.812,0.762,0.752
108.8,6.653e+02,8.125e+02,4.993e+01,1.528e+03,,0.854,0.799,0.808,0.756,0.746
110.4,7.075e+02,9.911e+02,5.494e+01,1.753e+03,,0.850,0.795,0.804,0.751,0.741
111.9,6.961e+02,1.070e+03,5.924e+01,1.826e+03,,0.847,0.790,0.799,0.746,0.735
113.4,6.516e+02,1.131e+03,7.365e+01,1.856e+03,,0.844,0.786,0.795,0.741,0.730
115.0,5.411e+02,1.046e+03,1.008e+02,1.688e+03,,0.840,0.781,0.791,0.735,0.725
116.5,4.268e+02,8.908e+02,1.167e+02,1.434e+03,,0.837,0.776,0.786,0.730,0.719
118.0,3.413e+02,7.705e+02,1.159e+02,1.228e+03,,0.833,0.772,0.782,0.725,0.714
119.6,2.171e+02,5.289e+02,9.584e+01,8.418e+02,,0.829,0.767,0.778,0.719,0.708
121.1,1.359e+02,3.380e+02,1.236e+02,5.975e+02,,0.826,0.762,0.773,0.714,0.702
122.6,9.431e+01,2.349e+02,1.517e+02,4.809e+02,,0.822,0.757,0.769,0.708,0.697
124.2,1.159e+02,2.638e+02,2.501e+02,6.298e+02,,0.818,0.753,0.764,0.703,0.691
125.7,1.515e+02,2.877e+02,3.657e+02,8.049e+02,,0.814,0.748,0.760,0.697,0.686
