freq,psd_x,psd_y,psd_z,psd_xyz,shapers:,zv(73.2),mzv(71.0),ei(86.8),2hump_ei(112.0),3hump_ei(139.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,,1.000,1.000,1.000,1.000,1.000
1.5,2.936e-15,2.986e-14,2.083e-12,2.116e-12,,1.000,0.999,0.999,0.999,0.999
3.1,1.274e-03,1.762e-02,3.370e-01,3.559e-01,,0.999,0.999,0.999,0.998,0.998
4.6,2.037e-01,2.322e+00,2.336e+01,2.588e+01,,0.999,0.998,0.998,0.997,0.997
6.1,1.266e+00,1.088e+01,9.541e+01,1.076e+02,,0.998,0.997,0.997,0.997,0.996
7.7,2.727e+00,1.995e+01,1.717e+02,1.944e+02,,0.998,0.997,0.996,0.996,0.996
9.2,3.394e+00,3.085e+01,2.925e+02,3.267e+02,,0.997,0.996,0.996,0.995,0.995
10.7,3.123e+00,3.426e+01,3.623e+02,3.997e+02,,0.997,0.995,0.995,0.994,0.994
12.3,2.653e+00,3.097e+01,3.863e+02,4.199e+02,,0.996,0.995,0.994,0.993,0.993
13.8,2.349e+00,2.667e+01,3.902e+02,4.192e+02,,0.996,0.994,0.993,0.992,0.992
15.3,2.226e+00,2.320e+01,4.051e+02,4.306e+02,,0.995,0.993,0.992,0.991,0.991
16.9,1.874e+00,1.857e+01,4.176e+02,4.380e+02,,0.995,0.992,0.991,0.990,0.989
18.4,1.799e+00,1.934e+01,4.542e+02,4.753e+02,,0.994,0.991,0.990,0.989,0.988
19.9,1.862e+00,1.858e+01,5.235e+02,5.439e+02,,0.994,0.990,0.989,0.988,0.987
21.5,1.784e+00,1.724e+01,5.787e+02,5.978e+02,,0.993,0.990,0.988,0.987,0.986
23.0,1.764e+00,1.700e+01,6.503e+02,6.690e+02,,0.992,0.989,0.987,0.986,0.985
24.5,1.513e+00,1.525e+01,7.389e+02,7.557e+02,,0.992,0.988,0.986,0.985,0.984
26.1,1.626e+00,1.634e+01,8.386e+02,8.566e+02,,0.991,0.987,0.985,0.984,0.983
27.6,2.126e+00,1.746e+01,8.745e+02,8.941e+02,,0.990,0.986,0.984,0.982,0.981
29.1,1.908e+00,1.425e+01,8.897e+02,9.059e+02,,0.990,0.985,0.983,0.981,0.980
30.7,1.657e+00,1.472e+01,9.679e+02,9.843e+02,,0.989,0.984,0.982,0.980,0.979
32.2,1.357e+00,1.513e+01,1.111e+03,1.128e+03,,0.988,0.982,0.981,0.979,0.977
33.7,1.067e+00,1.720e+01,1.227e+03,1.245e+03,,0.987,0.981,0.980,0.977,0.976
35.3,1.061e+00,1.787e+01,1.458e+03,1.477e+03,,0.987,0.980,0.978,0.976,0.975
36.8,1.006e+00,1.647e+01,1.610e+03,1.627e+03,,0.986,0.979,0.977,0.975,0.973
38.3,1.037e+00,1.567e+01,1.542e+03,1.559e+03,,0.985,0.978,0.976,0.973,0.972
39.9,1.095e+00,1.571e+01,1.786e+03,1.803e+03,,0.984,0.977,0.974,0.972,0.970
41.4,1.049e+00,1.375e+01,1.938e+03,1.953e+03,,0.983,0.976,0.973,0.970,0.969
42.9,1.187e+00,1.773e+01,2.147e+03,2.166e+03,,0.982,0.974,0.972,0.969,0.967
44.4,1.416e+00,2.194e+01,2.655e+03,2.678e+03,,0.982,0.973,0.970,0.967,0.966
46.0,1.722e+00,2.841e+01,2.770e+03,2.800e+03,,0.981,0.972,0.969,0.966,0.964
47.5,1.742e+00,3.615e+01,3.321e+03,3.359e+03,,0.980,0.971,0.968,0.964,0.962
49.0,1.249e+00,4.013e+01,3.895e+03,3.936e+03,,0.979,0.969,0.966,0.963,0.961
50.6,1.588e+00,5.130e+01,4.881e+03,4.934e+03,,0.978,0.968,0.965,0.961,0.959
52.1,1.990e+00,6.444e+01,5.826e+03,5.893e+03,,0.977,0.966,0.963,0.959,0.957
53.6,2.394e+00,7.398e+01,5.860e+03,5.936e+03,,0.976,0.965,0.962,0.958,0.956
55.2,4.011e+00,1.204e+02,8.619e+03,8.743e+03,,0.975,0.964,0.960,0.956,0.954
56.7,5.325e+00,1.587e+02,1.062e+04,1.078e+04,,0.974,0.962,0.959,0.955,0.952
58.2,8.313e+00,2.152e+02,1.189e+04,1.212e+04,,0.973,0.961,0.957,0.953,0.951
59.8,1.806e+01,3.443e+02,1.514e+04,1.550e+04,,0.972,0.959,0.955,0.951,0.949
61.3,3.038e+01,5.176e+02,1.946e+04,2.001e+04,,0.971,0.958,0.954,0.949,0.947
62.8,2.941e+01,7.010e+02,2.166e+04,2.239e+04,,0.970,0.956,0.952,0.948,0.945
64.4,2.611e+01,9.053e+02,2.467e+04,2.560e+04,,0.969,0.955,0.950,0.946,0.943
65.9,4.014e+01,1.585e+03,2.764e+04,2.926e+04,,0.968,0.953,0.949,0.944,0.941
67.4,8.738e+01,2.928e+03,3.477e+04,3.779e+04,,0.966,0.951,0.947,0.942,0.939
69.0,1.429e+02,3.415e+03,3.463e+04,3.819e+04,,0.965,0.950,0.945,0.940,0.937
70.5,2.221e+02,3.585e+03,3.241e+04,3.621e+04,,0.964,0.948,0.943,0.938,0.935
72.0,3.317e+02,3.733e+03,3.411e+04,3.817e+04,,0.963,0.947,0.942,0.936,0.933
73.6,4.422e+02,4.650e+03,3.737e+04,4.246e+04,,0.962,0.945,0.940,0.934,0.931
75.1,4.867e+02,5.281e+03,3.847e+04,4.424e+04,,0.961,0.943,0.938,0.932,0.929
76.6,4.930e+02,4.967e+03,3.213e+04,3.759e+04,,0.959,0.941,0.936,0.930,0.927
78.2,5.073e+02,4.268e+03,2.567e+04,3.044e+04,,0.958,0.940,0.934,0.928,0.925
79.7,3.989e+02,2.596e+03,1.866e+04,2.166e+04,,0.957,0.938,0.932,0.926,0.923
81.2,4.788e+02,2.888e+03,2.067e+04,2.404e+04,,0.956,0.936,0.930,0.924,0.921
82.8,3.656e+02,1.990e+03,1.478e+04,1.713e+04,,0.954,0.934,0.928,0.922,0.919
84.3,3.067e+02,1.368e+03,1.265e+04,1.433e+04,,0.953,0.932,0.926,0.920,0.916
85.8,2.156e+02,7.918e+02,9.584e+03,1.059e+04,,0.952,0.930,0.924,0.918,0.914
87.4,1.537e+02,4.500e+02,8.852e+03,9.456e+03,,0.950,0.929,0.922,0.916,0.912
88.9,8.798e+01,2.165e+02,7.749e+03,8.053e+03,,0.949,0.927,0.920,0.914,0.910
90.4,5.164e+01,1.401e+02,6.631e+03,6.823e+03,,0.948,0.925,0.918,0.911,0.907
92.0,4.025e+01,1.174e+02,5.799e+03,5.956e+03,,0.946,0.923,0.916,0.909,0.905
93.5,3.188e+01,1.017e+02,4.989e+03,5.123e+03,,0.945,0.921,0.914,0.907,0.903
95.0,3.591e+01,8.717e+01,4.407e+03,4.531e+03,,0.943,0.919,0.912,0.905,0.901
96.6,5.581e+01,5.744e+01,4.156e+03,4.270e+03,,0.942,0.917,0.909,0.902,0.898
98.1,6.468e+01,3.636e+01,3.713e+03,3.814e+03,,0.940,0.915,0.907,0.900,0.896
99.6,6.648e+01,4.078e+01,3.858e+03,3.965e+03,,0.939,0.913,0.905,0.898,0.893
101.2,6.285e+01,4.744e+01,4.189e+03,4.300e+03,,0.937,0.911,0.903,0.895,0.891
102.7,6.086e+01,5.694e+01,3.402e+03,3.520e+03,,0.936,0.909,0.900,0.893,0.889
